,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
424, حي النرجس ,غير محدد,2,1.0,2,106,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,900000
425, حي النرجس ,شمالية,3,1.0,3,120,غير متوفر,متوفر,غير متوفر,أرضي,0.0,لا,909000
426, الرياض ,شرقية,4,1.0,5,143,متوفر,متوفر,متوفر,علوي,0.0,لا,1000000
427, الرياض ,شمالية شرقية,3,1.0,3,139,متوفر,متوفر,متوفر,3,8.0,لا,800000
428, الرياض ,شمالية شرقية,1,1.0,2,81,غير متوفر,متوفر,متوفر,20+,3.0,لا,1700000
430, حي النرجس ,ثلاث شوارع,4,1.0,3,150,متوفر,متوفر,متوفر,علوي,1.0,لا,1150000
432, حي الياسمين ,شرقية,3,1.0,3,129,متوفر,متوفر,متوفر,3,0.0,لا,1250000
433, حي النرجس ,شرقية,4,2.0,5,214,متوفر,متوفر,متوفر,3,0.0,لا,1385000
434, حي الملقا ,غير محدد,3,2.0,3,118,غير متوفر,غير متوفر,غير متوفر,غير محدد,0.0,لا,1090000
435, حي الملقا ,غير محدد,3,1.0,3,130,متوفر,متوفر,متوفر,أرضي,0.0,لا,880000
436, حي النرجس ,غير محدد,3,1.0,3,150,غير متوفر,متوفر,متوفر,علوي,0.0,لا,850000
437, حي النرجس ,جنوبية,3,1.0,4,106,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,880000
438, حي الندى ,غير محدد,2,1.0,2,101,متوفر,متوفر,متوفر,3,1.0,نعم,1150000
439, حي الياسمين ,غير محدد,2,2.0,3,130,متوفر,غير متوفر,متوفر,3,0.0,نعم,950000
440, حي الوادي ,غير محدد,3,1.0,3,158,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1119000
441, حي الملقا ,جنوبية غربية,3,2.0,5,248,متوفر,غير متوفر,متوفر,3,0.0,لا,1742500
442, حي الملقا ,جنوبية شرقية,5,1.0,4,132,متوفر,متوفر,متوفر,أرضي,0.0,نعم,1281250
443, حي النرجس ,غير محدد,3,1.0,3,151,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,846000
444, حي النرجس ,جنوبية,3,1.0,3,134,متوفر,غير متوفر,متوفر,علوي,0.0,لا,900000
445, حي النخيل ,غير محدد,3,1.0,2,159,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1400000
446, حي النرجس ,شمالية غربية,3,2.0,3,176,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1233000
447, حي النزهة ,جنوبية شرقية,3,1.0,3,203,متوفر,غير متوفر,غير متوفر,غير محدد,8.0,لا,1500000
448, حي الياسمين ,شرقية,3,1.0,3,129,متوفر,متوفر,متوفر,3,0.0,لا,1250000
449, حي حطين ,غير محدد,3,1.0,4,166,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1299000
450, الرياض ,شرقية,3,1.0,2,104,متوفر,متوفر,متوفر,3,7.0,لا,715000
451, حي النرجس ,غير محدد,2,1.0,3,117,متوفر,غير متوفر,متوفر,علوي,0.0,نعم,900000
452, الرياض ,ثلاث شوارع,4,1.0,4,151,غير متوفر,غير متوفر,غير متوفر,غير محدد,0.0,لا,896000
453, حي النرجس ,شمالية,4,1.0,3,119,غير متوفر,غير متوفر,متوفر,غير محدد,0.0,لا,769000
454, حي المغرزات ,غربية,2,2.0,3,158,متوفر,متوفر,متوفر,أرضي,0.0,نعم,1375000
455, حي الياسمين ,غربية,3,1.0,3,120,متوفر,غير متوفر,متوفر,علوي,0.0,نعم,950000
456, الرياض ,شمالية,4,2.0,4,190,متوفر,غير متوفر,متوفر,3,0.0,نعم,1750000
457, حي العارض ,جنوبية,3,1.0,3,154,متوفر,غير متوفر,غير متوفر,أرضي,1.0,لا,1200000
458, حي الملقا ,شمالية,3,1.0,3,185,متوفر,متوفر,متوفر,علوي,11.0,لا,1850000
459, حي العارض ,جنوبية شرقية,3,2.0,3,219,متوفر,غير متوفر,متوفر,3,0.0,لا,1350000
460, الرياض ,غربية,2,2.0,2,90,متوفر,متوفر,متوفر,علوي,0.0,نعم,850000
461, حي النرجس ,شمالية غربية,3,1.0,3,145,متوفر,متوفر,غير متوفر,ارضي,0.0,لا,1099000
462, حي النرجس ,شرقية,3,1.0,3,163,متوفر,متوفر,متوفر,أرضي,0.0,لا,906000
463, حي القيروان ,غير محدد,3,2.0,3,127,متوفر,غير متوفر,غير متوفر,غير محدد,2.0,لا,1400000
464, حي النرجس ,شمالية,4,2.0,4,143,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1570000
465, حي الملقا ,غير محدد,2,1.0,3,111,متوفر,متوفر,متوفر,أرضي,0.0,نعم,1250000
466, حي النرجس ,جنوبية,3,1.0,3,125,متوفر,متوفر,متوفر,أرضي,0.0,لا,1150000
467, حي الياسمين ,شرقية,3,1.0,3,140,متوفر,متوفر,متوفر,علوي,0.0,لا,1249000
468, حي الملقا ,غير محدد,3,1.0,3,196,متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,1550000
469, حي النرجس ,غير محدد,3,1.0,3,137,متوفر,غير متوفر,متوفر,علوي,0.0,لا,995000
470, حي حطين ,شمالية,3,2.0,3,146,متوفر,غير متوفر,متوفر,علوي,10.0,نعم,1300000
471, حي الملقا ,غير محدد,3,1.0,3,168,متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,1350000
473, حي النرجس ,غير محدد,2,1.0,3,117,متوفر,غير متوفر,متوفر,علوي,0.0,نعم,900000
474, حي العارض ,غربية,3,1.0,3,109,متوفر,متوفر,متوفر,علوي,0.0,لا,890000
475, حي النرجس ,شمالية,4,1.0,3,150,غير متوفر,غير متوفر,متوفر,3,0.0,لا,1050000
476, حي المصيف ,غير محدد,3,1.0,3,161,غير متوفر,غير متوفر,غير متوفر,غير محدد,0.0,لا,1350000
477, حي الملقا ,غربية,3,1.0,3,190,متوفر,متوفر,متوفر,علوي,0.0,لا,1600000
478, حي العارض ,جنوبية شرقية,3,2.0,3,167,متوفر,متوفر,غير متوفر,غير محدد,0.0,نعم,990000
479, حي القيروان ,غير محدد,3,2.0,3,127,متوفر,غير متوفر,غير متوفر,غير محدد,2.0,لا,1400000
480, حي النرجس ,جنوبية شرقية,2,1.0,2,130,غير متوفر,غير متوفر,متوفر,غير محدد,0.0,لا,782000
481, حي النرجس ,شرقية,3,1.0,3,142,متوفر,غير متوفر,غير متوفر,ثالث,0.0,لا,970000
482, حي القيروان ,شرقية,3,1.0,3,104,متوفر,متوفر,غير متوفر,أرضي,0.0,لا,1100000
483, الرياض ,غير محدد,3,2.0,3,149,متوفر,غير متوفر,متوفر,علوي,0.0,لا,1250000
484, حي العارض ,شرقية,3,1.0,4,200,غير متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1200000
485, الرياض ,غير محدد,3,1.0,3,141,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,979000
486, حي الملقا ,شمالية غربية,4,1.0,3,124,غير متوفر,غير متوفر,متوفر,غير محدد,0.0,لا,959000
487, حي الملقا ,شمالية,4,1.0,4,230,متوفر,غير متوفر,غير متوفر,أرضي,8.0,نعم,1650000
488, حي العقيق ,غير محدد,3,2.0,3,123,متوفر,غير متوفر,متوفر,أرضي,11.0,لا,700000
489, حي النرجس ,جنوبية,3,1.0,3,135,غير متوفر,غير متوفر,متوفر,أرضي,0.0,لا,920000
490, حي النرجس ,غير محدد,3,1.0,3,130,متوفر,غير متوفر,متوفر,3,0.0,لا,850000
491, حي العارض ,شمالية,3,2.0,4,178,متوفر,غير متوفر,متوفر,أرضي,7.0,نعم,1200000
492, حي الوادي ,غير محدد,3,1.0,3,158,غير متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,1119000
493, حي المروج ,غربية,2,1.0,3,182,متوفر,متوفر,متوفر,3,0.0,نعم,1390000
494, حي العارض ,شمالية غربية,3,1.0,3,199,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,980000
495, حي النزهة ,جنوبية,2,1.0,3,125,متوفر,متوفر,غير متوفر,اول,4.0,لا,1150000
496, حي الملقا ,غير محدد,5,2.0,4,216,متوفر,متوفر,متوفر,علوي,4.0,لا,1700000
497, حي النرجس ,غير محدد,2,1.0,3,151,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,896000
498, حي الملقا ,غير محدد,4,1.0,3,143,متوفر,متوفر,متوفر,أرضي,2.0,نعم,1200000
499, الرياض ,غير محدد,3,1.0,3,250,متوفر,غير متوفر,متوفر,علوي,2.0,لا,1200000
500, حي النفل ,شمالية,4,1.0,4,131,غير متوفر,متوفر,متوفر,ثاني,1.0,لا,1150000
501, حي القيروان ,غير محدد,3,1.0,3,134,متوفر,متوفر,غير متوفر,علوي,3.0,لا,1100000
502, حي الملقا ,جنوبية,3,1.0,4,174,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1400000
503, حي الندى ,غير محدد,3,1.0,3,126,متوفر,غير متوفر,متوفر,أرضي,3.0,لا,1100000
504, الرياض ,جنوبية غربية,3,1.0,3,111,غير متوفر,غير متوفر,غير متوفر,3,0.0,لا,886000
505, حي النرجس ,شمالية,4,2.0,4,163,متوفر,غير متوفر,غير متوفر,3,0.0,لا,900000
